id,title,authors,venue,year
2576,multidimensional similarity structure analysis,"i borg , jc lingoes",,1987.0
2577,obtaining complete answers from incomplete databases,ay levy,"proceedings of the international conference on very large & hellip ; ,",1996.0
2578,"li. , c. , and vitter . j. 2001 . supporting incremental join queries on ranked inputs","a natsev , y chang , j smith",proceedings of the very large data bases conference ( vldb ;,
2579,a database index to large biological sequences,"e hunt , mp atkinson , rw irving",,
2580,too much middleware,m stonebraker,"sigmod record ,",2002.0
2581,data in your face '' : push technology in perspective ( invited paper ) acm sigmod intl,"m franklin , s zdonik","conference on management of data , seattle , wa , june ,",
2582,load balancing in dynamic structured p2p systems,ssy patel,,
2583,comparing data streams using hamming norms ( how to zero in ),"g cormode , m datar , p indyk , s muthukrishnan","ieee transactions on knowledge and data engineering ,",2003.0
2584,devise : integrated queryingand visual explorationof large datasets,"m livny , r ramakrishnan , k beyer , g chen , d","proceedings of the 1997acm-sigmod conference ,",
2585,efficient numerical error bounding for replicated network services,hy aminvahdat,"technical report cs-2000-08 , computer science department , duke",
2586,affinity relation discovery in image database clustering and content-based retrieval,"ml shyu , sc chen , m chen , c zhang","proceedings of the 12th annual acm international conference & hellip ; ,",2004.0
2587,information gathering in the world wide web : the w3ql query language and the w3qs system,"d konopnicki , o shmueli","acm transactions on database systems ,",1998.0
2588,on the design of a distributed query processing algorithm,"ct yu , c chang , m templeton , d brill , e lund",proceedings of the acm-sigmod international conference on,
2589,ariadne : a system for constructing mediators for internet sources ( demonstration ),"j ambite , n ashish , g barish , a knoblock , s minton","proceedings of acm sigmodâ ?? 98 conference on management of & hellip ; ,",
2590,multimedia miner : a system prototype for multimedia data mining,", j han , sh chee , jy chiang","proceedings of acm-sigmod international conference on & hellip ; ,",1998.0
2591,a value-added model for electronic commerce,to ` daniel,"electronic markets ,",
2592,a data warehouse intelligent cache manager [ c ],p schenermannâ ? ¦,"proc of the 22nd vldb conf ,",
2593,application servers ( panel session ) : born-again tp monitors for the web,"c mohan , l cable , m devin , s dietzen , p helland , d","proceedings of the 2001 acm sigmod international conference & hellip ; ,",2001.0
2594,nsf workshop on industrial/academic cooperation in database systems,"m carey , l seligman","sigmod record ,",1999.0
2595,"selectivity estimation in spatial databases , acm sigmod intl","s achaya , v poosala , s ramaswamy","conference on management of data ,",
2596,efficient transparent application recovery,"d lomet , g weikum",client-server information systems .,
2597,parametric query optimization for linear and piecewise linear cost functions,"ah hs02 , s sudarshan",,2002.0
2598,report on the 18th british national conference on databases ( bncod ),"c goble , b read","sigmod record ,",2002.0
2599,extracting structured data from web pages,"a arasu , h garcia-molina",,
2600,passive dynamic running,"mh raibert , cm thompson","experimental robotics i ,",
2601,branch libraries for multimedia repositories ( poster ),"m kozuch , w wolf , a wolfe , d mckay","proceedings of the second acm international conference on & hellip ; ,",1997.0
2602,distributed restoration in telecommunications networks,d johnsonâ ? ¦,"bt technology journal ,",1994.0
2603,optimization of dynamic query evaluation plans,"rl cole , g graefe","proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0
2604,soft-link hypertext for information retrieval,"md ` inverno , p howells , mj hu , m luck","information & software technology ,",2002.0
2605,mapinfo spatialware : a spatial information server for rdbms .,c mina,"vldb ,",1998.0
2606,"tata probabilistic temporal databases , i : algebra","a dekhtyar , r ross , vs subrahmanian","technical report cs-tr-3987 , department of computer science ,",
2607,continuous querying in database-centric web applications,"jc shafer , r agrawal","www9 / computer networks ,",2000.0
2608,"merialdo & p. sindoni , g.â ?? the araneus web-base management systemâ ??","g mecca , p atzeni , a masci",acm sigmod international conference on management of,
2609,a multimedia presentation algebra,"s adalä ± , ml sapino , vs subrahmanian","sigmod ,",1999.0
2610,falcon : feedback adaptive loop for content-based retrieval,"t authors , c identified",,
2611,an evaluation of buffer management strategies for relational database systems / / vldb '85,"ht chou , dj dewitt","proceedings of 11th international conference on very large & hellip ; ,",
2612,efficient algorithms for large-scale topology discovery,"b donnet , p raoult , t friedman , m crovella",,
2613,dictionary methods for cross-lingual information retrieval,"l ballesteros , wb croft","lecture notes in computer science ,",1996.0
2614,sigcas chair 's message,cd martin,"computers and society ,",
