id,label,left_index,left_id,left_title,left_authors,left_venue,left_year,right_index,right_id,right_title,right_authors,right_venue,right_year
0,1,2510,2549,realm-based spatial data types : the rose algebra,"r gќting , m schneider",vldb j.,1995.0,9768,42707,realm-based spatial data types : the rose algebra,"rh gfiting , m schneider","fernuniversit/it hagen ,",
1,0,1911,1944,relational data sharing in peer-based data management systems,"b ooi , y shu , k tan",sigmod record,2003.0,4240,10241,research directions in data base management systems,d tsichritzis,"acm sigmod record ,",1977.0
2,0,1676,1704,aries/csa : a method for database recovery in client-server architectures,"c mohan , i narang",sigmod conference,1994.0,11442,53079,modern client-server dbms architectures,"n roussopoulos , a delis","sigmod record ,",1991.0
3,0,1617,1645,design and analysis of parametric query optimization algorithms,s ganguly,vldb,1998.0,8712,36529,parametric query optimization,a hulgeri,,2004.0
4,0,699,711,environment information systems - guest editor 's foreword,,,1997.0,11410,52854,integrating modelling systems for environmental management information systems,"dj abel , k taylor , d kuo","sigmod record ,",1997.0
5,0,593,604,the trigs active object-oriented database system - an overview,"g kappel , w retschitzegger",sigmod record,1998.0,9981,44135,"transaction management in an object-oriented database system , acm sigmod int","j garza , w kim","conf . on management of data , chicago , illinois ,",
6,0,344,354,cache invalidation scheme for mobile computing systems with real-time data,"j yuen , e chan , k lam , h leung",sigmod record,2000.0,8269,33798,an adaptive avi-based cache invalidation scheme for mobile computing systems,"jch yuen , e chan , k lam , hw leung",,
7,0,508,519,infering structure in semistructured data,"s nestorov , s abiteboul , r motwani",sigmod record,1997.0,7449,29138,query optimization for semistructured data,"j mchugh , j widom","proc . vldb ,",1999.0
8,0,2353,2391,approximate similarity retrieval with m-trees,"p zezula , p savino , g amato , f rabitti",vldb j.,1998.0,3952,8432,a retrieval technique for similarity shapes,hv jagadish,proc . 1991 acmsigmod int . conf . management of,
9,0,2523,2562,"title , foreword",,,1994.0,8764,36912,foreword,ja wheeler,"numerical astrophysics ,",1985.0
10,0,2217,2255,fast algorithms for universal quantification in large databases,"g graefe , r cole",acm trans . database syst .,1995.0,8725,36651,fast algorithms for mining association rules in large databases,"r argrawal , r srikant",,1994.0
11,0,1743,1771,on parallel execution of multiple pipelined hash joins,"h hsiao , m chen , p yu",sigmod conference,1994.0,7250,28024,parallel execution of hash joins in parallel databases,"hi hsiao , ms chen , ps yu",,
12,1,628,639,filtering algorithms and implementation for very fast publish/subscribe,"f fabret , h jacobsen , f llirbat , j pereira , k ross , d shasha",sigmod conference,2001.0,10316,46138,filtering algorithms and implementation for very fast publish/subscribe systems,d shasha,,
13,0,935,951,a comparison of selectivity estimators for range queries on metric attributes,"b blohsfeld , d korus , b seeger",sigmod conference,1999.0,10874,49630,improved histograms for selectivity estimation of range predicates,"v poosala , ej shekita","sigmod conference ,",1996.0
14,1,2426,2464,efficient filtering of xml documents with xpath expressions,"c chan , p felber , m garofalakis , r rastogi",vldb j.,2002.0,12323,58307,xtrie : efficient filtering of xml documents with xpath expressions,"cy chan , p felber , m garofalakis , r rastogi","proc . of 18th international conference on data engineering , (",
15,0,1158,1181,a database platform for bioinformatics,s banerjee,vldb,2000.0,6095,21103,seqhound biological sequence database system as a platform for bioinformatics research,"k michalikova , gd bader , m dumontier , r isserlin ,",,
16,0,18,18,advances in databases and information systems ( adbis ),"a caplinskas , j eder , o vasilecas",sigmod record,2002.0,6523,23552,"power system information theory , advances in power system control","hb sun , bm zhang , l tangâ ? ¦","operation and management international conference ( apscom ) ,",
17,0,2151,2188,efficient algorithms for processing xpath queries,"g gottlob , c koch , r pichler",vldb,2002.0,12731,60919,efficient algorithms for multi query optimization,"p roy , s seshadri , s sudarshan , s bhobe","proceedings of the 2000 acm international conference on & hellip ; ,",
18,0,454,464,database research at the university of oklahoma,"l gruenwald , l brown , r dirckze , s guinepain , c sсnchez , b summers , s vanichayobon",sigmod record,1999.0,3832,7643,database research activities at the university of vienna,"am tjoa , g vinek","acm sigmod record ,",1992.0
19,0,552,563,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997.0,2599,202,extracting structured data from web pages,"a arasu , h garcia-molina",,
20,1,2485,2523,historical queries along multiple lines of time evolution,"g landau , j schmidt , v tsotras",vldb j.,1995.0,12248,57901,on historical queries along multiple lines of time evolution . to appear at the,"gm landau , jp schmidt , vj tsotras","vldb journal ,",
21,0,1920,1953,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995.0,6835,25559,efficient mining of association rules in distributed databases,"dw cheung , vt ng , aw fu","knowledge and data engineering , ieee transactions on ,",1996.0
22,0,1454,1482,curio : a novel solution for efficient storage and indexing in data warehouses,"a datta , k ramamritham , h thomas",vldb,1999.0,8042,32571,efficient materialization and use of views in data warehouses,"mf de souza , mc sampaio","sigmod record ,",1999.0
23,0,2454,2492,guest editorial,,,2001.0,8320,34163,editorial,n wall,"bt technology journal ,",2000.0
24,0,2515,2554,the aditi deductive database system,"j vaghani , k ramamohanarao , d kemp , z somogyi , p stuckey , t leask , j harland",vldb j.,1994.0,10420,46707,an introduction to aditi deductive database system,j vaghani,"australian computer journal ,",1991.0
25,0,2514,2553,the coral deductive system,"r ramakrishnan , d srivastava , s sudarshan , p seshadri",vldb j.,1994.0,4559,12097,deductive database system,g phippc,"proc acn sigmod on management of data ,",
26,0,313,321,chair 's message,,,2000.0,2614,339,sigcas chair 's message,cd martin,"computers and society ,",
27,1,1842,1873,the case for enhanced abstract data types,"p seshadri , m livny , r ramakrishnan",vldb,1997.0,7241,27955,the casefor enhanced abstract datatypes,"p seshadri , m livny , r ramakrishnan",proceedings of the 23th vldb,
28,0,95,95,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994.0,7748,30895,a fast distributed algorithm for mining association rules,"dw cheung , j han , vt ng , aw fu , y fu","proceedings of the fourth international conference on on & hellip ; ,",1996.0
29,0,833,847,managing video data in a mobile environment,"r alonso , y chang , l iftode , v mani",sigmod record,1995.0,6096,21104,operating in a new environment,c petzold,"pc magazine ,",
30,0,2361,2399,guest editorial : databases and the web,,,2000.0,10348,46326,guest editorial,bv gray,"journal of research in science teaching ,",1999.0
31,0,1259,1283,online aggregation,"j hellerstein , p haas , h wang",sigmod conference,1997.0,6082,21042,online aggregation,m raitner,,
