id,label,left_index,left_id,left_title,left_authors,left_venue,left_year,right_index,right_id,right_title,right_authors,right_venue,right_year
0,0,1111,1133,cure : an efficient clustering algorithm for large databases,"s guha , r rastogi , k shim",sigmod conference,1998.0,5847,19588,efficient algorithm for projected clustering,"enk ka , aw fu",,
1,0,1800,1829,open object database management systems,,,1994.0,12448,59186,performance evaluation of a temporal database management system,"i ahn , r snodgrass","proceedings of the 1986 acm sigmod international conference & hellip ; ,",1986.0
2,0,1920,1953,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995.0,3407,5130,mining association rules between sets of items in large databases . 1993,"r agrawal , t imielinski , a swami",proc . acm sigmod international conference on management of,
3,0,2272,2310,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,7349,28595,a visual query language for odmg-compliant databases,"m chavda , pt wood",,
4,0,1816,1845,a language based multidatabase system,"e kќhn , t tschernko , k schwarz",sigmod conference,1994.0,10682,48451,a classification of multi-database languages,"m tresch , mh scholl , ibmar center , ca san jose","parallel and distributed information systems , 1994. , & hellip ; ,",1994.0
5,0,207,211,using unknowns to prevent discovery of association rules,"y saygin , v verykios , c clifton",sigmod record,2001.0,2952,2457,on the discovery of interesting patterns in association rules,"s ramaswamy , s mahajan , a silberschatz","vldb ,",1998.0
6,1,1334,1360,the distributed information search component ( disco ) and the world wide web,"a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",sigmod conference,1997.0,4471,11549,the distributed information search component ( disco ) and the world wide web,"a tomasic , r amouroux , p bonnet , o kapitskaia , h","sigmod conference ,",1997.0
7,0,641,652,open issues in parallel query optimization,"w hasan , d florescu , p valduriez",sigmod record,1996.0,7813,31280,multi-query optimization,tk sellis,"acm trans . on database systems ,",
8,0,1504,1532,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996.0,12684,60672,size separation spatial join,"n koudas , kc sevcik","proceedings of the 1997 acm sigmod international conference & hellip ; ,",1997.0
9,0,1958,1991,interview with jim gray,,,2003.0,7720,30712,interview with authors,e larson,"san diego ,",
10,0,1684,1712,the ecrc multi database system,"w jonker , h schќtz",sigmod conference,1995.0,9623,41920,the o 2 object-oriented database system,f bancilhon,proceedings of the 1992 acm sigmod-international conference,
11,0,697,709,outlier detection for high dimensional data,"c aggarwal , p yu",sigmod conference,2001.0,10117,45026,an effective and efficient algorithm for high-dimensional outlier detection,"cc aggarwal , ps yu","the vldb journal the international journal on very large & hellip ; ,",2005.0
12,0,2257,2295,guest editorial,,,2003.0,3972,8559,guest editor 's introduction,portal.acm.org,,
13,0,2540,2579,schemasql - a language for interoperability in relational multi-database systems,"l lakshmanan , f sadri , i subramanian",vldb,1996.0,9689,42314,panel : interoperability in multidatabases : semantic and systems issues,y breitbartâ ? ¦,"proc of vldb ,",
14,0,685,696,database research at arizona state university,"s urban , s dietrich , f golshani",sigmod record,1996.0,10306,46108,database research at hp labs,ma neimat,"sigmod record ,",1991.0
15,0,648,659,"olap , relational , and multidimensional database systems",g colliat,sigmod record,1996.0,4594,12273,cmd : a multidimensional declustering method for parallel database systems,"l jianzhong , j srivastava , d rotem","proceedings of international conference on vldb , august ,",
16,0,601,612,mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998.0,9717,42439,mining association rules from quantitative data,"tp hong , cs kuo , sc chi","intelligent data analysis ,",1999.0
17,0,2148,2185,grid data management systems & services,,,2003.0,4240,10241,research directions in data base management systems,d tsichritzis,"acm sigmod record ,",1977.0
18,0,963,980,data integration and warehousing in telecom italia,"s trisolini , m lenzerini , d nardi",sigmod conference,1999.0,12350,58492,enterprise modeling and data warehousing in telecom italia,"d calvanese , l dragone , d nardi , r rosati , sm",,
19,0,592,603,dyda : data warehouse maintenance in fully concurrent environments,"j chen , x zhang , s chen , a koeller , e rundensteiner",sigmod conference,2001.0,2840,1832,efficient data view maintenance warehouses,"d agrawal , a el abbadi , a singh , t yurek","proc . acm sigmod ,",
20,0,2272,2310,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,8551,35508,on completeness of historical relational query languages,"j clifford , a croker , a tuzhilin","acm transactions on database systems ( tods ) ,",1994.0
21,1,1355,1381,using sql to build new aggregates and extenders for object - relational systems,"h wang , c zaniolo",vldb,2000.0,10485,47050,using sql to build new aggregates and extenders for object-relational systems,hwc zaniolo,,
22,0,1062,1084,merge replication in microsoft 's sql server 7.0,b hammond,sigmod conference,1999.0,7027,26734,data cleaning in microsoft sql server 2005,"s chaudhuri , k ganjam , v ganti , r kapoor , v","proceedings of the 2005 acm sigmod international conference & hellip ; ,",2005.0
23,0,1852,1883,multiple-view self-maintenance in data warehousing environments,n huyn,vldb,1997.0,5050,15003,"j , hammer , j. widom . view maintenance in a warehousing environment","y zhuge , h garcia-molina",proc . of the acm sigmod intl. conf . on management of,
