index,id,title,authors,venue,year
0,0,towards a cooperative transaction model - the cooperative activity model,"m rusinkiewicz , w klas , t tesch , j wфsch , p muth",vldb,1995.0
1,1,sql/xml is making good progress,"a eisenberg , j melton",sigmod record,2002.0
2,2,using formal methods to reason about semantics-based decompositions of transactions,"p ammann , s jajodia , i ray",vldb,1995.0
3,3,editor 's notes,l liu,sigmod record,2002.0
4,4,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ),,,2002.0
5,5,schema and database evolution in the o2 object database system,"f ferrandina , t meyer , r zicari , g ferran , j madec",vldb,1995.0
6,6,procedures in object-oriented query languages,"k subieta , y kambayashi , j leszczylowski",vldb,1995.0
7,7,phoenix project : fault-tolerant applications,"r barga , d lomet",sigmod record,2002.0
8,8,mining the world wide web : an information search approach - book review,,,2002.0
9,9,l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms,"f moser , a kraiss , w klas",vldb,1995.0
10,10,report on the nsf workshop on building an infrastructure for mobile and wireless systems,,,2002.0
11,11,retrieval of composite multimedia objects,"s chaudhuri , s ghandeharizadeh , c shahabi",vldb,1995.0
12,12,mpeg-7 and multimedia database systems,h kosch,sigmod record,2002.0
13,13,the fittest survives : an adaptive approach to query optimization,"h lu , k tan , s dao",vldb,1995.0
14,14,reminiscences on influential papers,,,2002.0
15,15,type classification of semi-structured documents,"m tresch , n palmer , a luniewski",vldb,1995.0
16,16,data mining : practical machine learning tools and techniques - book review,j geller,sigmod record,2002.0
17,17,managing intra-operator parallelism in parallel database systems,"m mehta , d dewitt",vldb,1995.0
18,18,advances in databases and information systems ( adbis ),"a caplinskas , j eder , o vasilecas",sigmod record,2002.0
19,19,mining generalized association rules,"r srikant , r agrawal",vldb,1995.0
20,20,sampling-based estimation of the number of distinct values of an attribute,"p haas , j naughton , s seshadri , l stokes",vldb,1995.0
21,21,book review column,k aberer,sigmod record,2002.0
22,22,processing object-oriented queries with invertible late bound functions,"s flodin , t risch",vldb,1995.0
23,23,databases and transaction processing : an application-oriented approach - book review,a kemper,sigmod record,2002.0
24,24,"the clustra telecom database : high availability , high throughput , and real-time response","s hvasshovd , и torbjјrnsen , s bratsberg , p holager",vldb,1995.0
25,25,conceptual modeling and specification generation for b2b business process based on ebxml,h kim,sigmod record,2002.0
26,26,neurorule : a connectionist approach to data mining,"h lu , r setiono , h liu",vldb,1995.0
27,27,a multi-agent system infrastructure for software component market-place : an ontological perspective,"r erdur , o dikenelli",sigmod record,2002.0
28,28,improving performance in replicated databases through relaxed coherency,"r gallersdіrfer , m nicola",vldb,1995.0
29,29,an active functionality service for e-business applications,"m cilia , a buchmann",sigmod record,2002.0
30,30,contracting in the days of ebusiness,"w hќmmer , w lehner , h wedekind",sigmod record,2002.0
31,31,redo recovery after system crashes,"d lomet , m tuttle",vldb,1995.0
32,32,db2 query parallelism : staging and implementation,y wang,vldb,1995.0
33,33,david dewitt speaks out,m winslett,ecord,2002.0
34,34,a product specification database for visual prototyping,"k sumiya , k yasutake , h tanaka , n sanada , y imai",vldb,1995.0
35,35,from ternary relationship to relational tables : a case against common beliefs,r camps,sigmod record,2002.0
36,36,database de-centralization - a practical approach,"t didriksen , c galindo-legaria , e dahle",vldb,1995.0
37,37,cluster validity methods : part i,"m halkidi , y batistakis , m vazirgiannis",sigmod record,2002.0
38,38,a pictorial query language for querying geographic databases using positional and olap operators,"e pourabbas , m rafanelli",sigmod record,2002.0
39,39,benchmarking spatial join operations with spatial output,"e hoel , h samet",vldb,1995.0
40,40,bringing order to query optimization,"g slivinskas , c jensen , r snodgrass",sigmod record,2002.0
41,41,bigsur : a system for the management of earth science data,"p brown , m stonebraker",vldb,1995.0
42,42,editor 's notes,l liu,sigmod record,2002.0
43,43,efficient search of multi-dimensional b-trees,"h leslie , r jain , d birdsall , h yaghmai",vldb,1995.0
