id,label,left_index,left_id,left_title,left_authors,left_venue,left_year,right_index,right_id,right_title,right_authors,right_venue,right_year
0,0,2524,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,3624,6425,"local verification of global integrity constraints in distributed databases a gupta , j widom",,,
1,1,1832,1861,on-demand data elevation in hierarchical multimedia storage servers vldb,"p triantafillou , t papadakis",,1997.0,13250,64163,"on-demand data elevation in a hierarchical multimedia storage server proc . of 23rd intl. conf . on very large data bases , vldb ,","p triantallou , t papadakis",,1997.0
2,1,2150,2187,"database tuning : principles , experiments , and troubleshooting techniques d shasha , p bonnet vldb 2002",,,,13226,64008,"database tuning : principles , experiments , and troubleshooting techniques ( part i ) 2002.0","d shasha , p bonnet","proceedings of the 2002 acm sigmod international conference & hellip ; ,",
3,0,600,611,dna-miner : a system prototype for mining dna sequences sigmod conference 2001,"j han , h jamil , y lu , l chen , y liao , j pei",,,5155,15632,n. stefanovic 1997 â ?? geominer : a system prototype for spatial data miningâ ??,"j han , k koperski",proc . acm-sigmod int . conf . on management of data ( sigmod &#39; 97,
4,0,620,631,communication efficient distributed mining of association rules sigmod conference 2001,"a schuster , r wolff",,,7193,27684,"mining generalized association rules r agrawal , r srikant proceedings of the 1995 international conference of very & hellip ; ,",,,
5,0,2416,2454,"global transaction support for workflow management systems : from formal specification to practical implementation p grefen , j vonk , p apers vldb j. 2001",,,,3801,7504,"distributed transaction support for workflow management applications j vonk , p grefen , e boertjes , p apers procs . 10th int . conf . on database and expert system & hellip ; ,",,,
6,0,1805,1834,"the x-tree : an index structure for high-dimensional data s berchtold , d keim , h kriegel vldb 1996",,,,10170,45355,"the tv-tree { an index structure for high-dimensional data . the vldb journal , 3 ( 4 ) : 517 { 549","ki lin , hv jagadish , c faloutsos",,1994.0
7,0,276,283,an extensible compressor for xml data sigmod record,"h liefke , d suciu",,2000.0,6884,25847,"xmill : an efficient compressor for xml data l hartmut , d suciu",,,
8,0,1083,1105,database systems management and oracle8 sigmod conference,c doherty,,1998.0,12688,60693,the cedar database management system,m brownâ ? ¦,"proc . 1981 acmsigmod conference on management of data , ann & hellip ; ,",
9,1,1452,1480,a critique of ansi sql isolation levels sigmod conference,"h berenson , p bernstein , j gray , j melton , e o'neil , p o'neil",,1995.0,10148,45262,a critique of ansi sql isolation levels 1995.0,"h berenson , p bernstein , j gray , j melton","proceedings of the acm sigmod international conference on & hellip ; ,",
10,0,993,1012,online association rule mining sigmod conference 1999,c hidber,,,2659,631,"mining fuzzy association rules in database mk chan , f ada , hw man sigmod record ,",,,
11,0,2042,2076,mixed mode xml query processing vldb,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",,2003.0,2803,1563,a transducer-based xml query processor,", p mukhopadhyay , y papakonstantinou","vldb ,",2002.0
12,1,928,944,"dynamat : a dynamic view management system for data warehouses y kotidis , n roussopoulos sigmod conference 1999",,,,13175,63682,dynamat : a dynamic viewmanagement system fordata warehouses,ykn roussopoulos,proc . of the acm sigmod,
13,0,19,19,mining generalized association rules vldb,"r srikant , r agrawal",,1995.0,3575,6179,mining association rules from semi-structured data,"k maruyama , k uehara","icdcs workshop of knowledge discovery and data mining in the & hellip ; ,",2000.0
14,0,95,95,fast algorithms for mining association rules in large databases 1994,"r agrawal , r srikant",vldb,,3489,5659,"data mining using two-dimensional optimized association rules for numeric data : scheme , algorithms , t fukuda , y morimoto , s morishita , t tokuyama proceedings of the acm sigmod international conference on",,,
15,0,782,794,"on the issue of valid time ( s ) in temporal databases s kokkotos , e ioannidis , t panayiotopoulos , c spyropoulos 1995",,sigmod record,,6038,20719,temporal databases,rt snodgrass,,
16,0,971,990,data management issues in electronic commerce ( panel ),m жzsu,sigmod conference,1999.0,4677,12798,special section on data management issues in e-commerce a dogac,,"acm sigmod record ,",
17,1,1060,1082,storage and retrieval of xml data using relational databases,,,2001.0,6792,25283,storage and retrieval of xml data using relational databases,"s chaudhuri , k shim","data engineering , 2003 . proceedings . 19th international & hellip ; ,",2003.0
18,0,2124,2161,"banks : browsing and keyword searching in relational databases b aditya , g bhalotia , s chakrabarti , a hulgeri , c nakhe , p parag , s sudarshan vldb",,,2002.0,2704,932,distance browsing in spatial databases 1999.0,"gr hjaltason , h samet","acm transactions on database systems ,",
19,0,2417,2455,answering queries using views : a survey a halevy 2001,,vldb j.,,7903,31743,a scalable algorithm for answering queries using views,ay levy,,
20,1,893,909,path sharing and predicate evaluation for high-performance xml filtering acm trans . database syst . 2003,"y diao , m altinel , m franklin , h zhang , p fischer",,,9019,38317,"yfilter : path sharing and predicate evaluation for high-performance xmpsll filtering y diao , m altinel , mj franklin , h zhang , p fischer acm transactions on database systems ( tods )",,,
21,0,1196,1219,"tavant system architecture for sell-side channel management s narayanan , s subramanian 2001",,vldb,,9620,41899,a control system architecture for intelligent systems,j albus,"procs . of the 1987 ieee intl. conf . on systems , man and & hellip ; ,",
22,0,19,19,mining generalized association rules vldb,"r srikant , r agrawal",,1995.0,12115,57159,a new sql-like operator for mining association rules,"s ceri , r meo , g psaila",proc . of the 22nd intâ ?? l conference on very large data,
23,1,1628,1656,a raster approximation for processing of spatial joins,"g zimbrao , j souza",vldb,1998.0,10169,45351,a raster approximation for processing of spatial joins,g zimbrao,"vldb ,",1998.0
24,1,1164,1187,ariadne : a system for constructing mediators for internet sources sigmod conference,"j ambite , n ashish , g barish , c knoblock , s minton , p modi , i muslea , a philpot , s tejada",,1998.0,3308,4546,. and sheila tejada . ariadne : a system for constructing mediators for internet sources ( system,"jl ambite , n ashish , g barish",proc . of a cm sigmod conf . on management of,
25,0,547,558,"asserting beliefs in mls relational models n jukic , s vrbsky sigmod record 1997",,,,3034,2895,"learning probabilistic relational models l getoorâ ? ¦ lecture notes in computer science , 2000.0",,,
26,0,654,665,exploiting main memory dbms features to improve real-time concurrency control protocols sigmod record 1996,"ж ulusoy , a buchmann",,,3131,3408,"index concurrency control in firm real-time dbms b goyal , j haritsa , s seshadri , v srinivasan proceedings of the international conference on very large & hellip ; , 1995.0",,,
27,0,1184,1207,hierarchical compact cube for range-max queries,"s lee , t ling , h li",vldb,2000.0,2845,1852,"hierarchical prefix cubes for range-sum queries cy chan , ye ioannidis proceedings of the 25th international conference on very & hellip ; ,",,,1999.0
28,0,1920,1953,"an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe",,vldb,1995.0,9736,42525,parallel algorithm for mining outliers in large database,e hung,,
29,1,167,171,client-server paradise,"d dewitt , n kabra , j luo , j patel , j yu",vldb,1994.0,2752,1241,"and j. yu . client-server paradise proceedings ofthe twentieth international conference on vey & hellip ; ,","dj dewitt , n kabra , j luo , jm pate",,
30,0,601,612,"mining fuzzy association rules in databases c kuok , a fu , m wong sigmod record",,,1998.0,3407,5130,mining association rules between sets of items in large databases . 1993 proc . acm sigmod international conference on management of,"r agrawal , t imielinski , a swami",,
31,0,1584,1612,view maintenance in a warehousing environment,"y zhuge , h garcia-molina , j hammer , j widom",sigmod conference,1995.0,6209,21786,"incremental cluster for mining in a data warehousing environment m ester , h kriegel , j sander , m wimmer , x xu",,"proc . of 24 thintâ ?? l conf . of vldb ,",
32,0,2243,2281,re-tree : an efficient index structure for regular expressions,"c chan , m garofalakis , r rastogi",vldb j.,2003.0,3031,2887,the tv-tree : an index structure forhigh-dimensional data,"ki lin , h jagadish , c faloutsos","the vldb journal ,",
33,0,1373,1399,picodmbs : scaling down database techniques for the smartcard vldb,"c bobineau , l bouganim , p pucheral , p valduriez",,2000.0,7571,29840,"database techniques for the world-wide web : a survey d florescu , a levy , a mendelzon 1998.0",,"sigmod record ,",
34,0,1800,1829,open object database management systems,,,1994.0,4825,13738,case for output management systems . 1981.0,k schwaber,"computerworld. ,",
35,0,1968,2001,"query processing in spatial network databases d papadias , j zhang , n mamoulis , y tao",,vldb,2003.0,10272,45908,redundancy in spatial databases,ja orenstein,,
36,1,86,86,dual-buffering strategies in object bases,"a kemper , d kossmann",vldb,1994.0,10713,48634,dual-buffering strategies in object bases 1994.0,"a kemper , d kossmann","vldb ,",
37,0,2174,2212,streaming queries over streaming data 2002,"s chandrasekaran , m franklin",vldb,,12205,57630,"processing complex aggregate queries over data streams sigmod conference ,","a dobra , mn garofalakis , j gehrke , r rastogi",,2002.0
38,0,1612,1640,algorithms for mining association rules for binary segmentations of huge categorical databases 1998,"y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda",vldb,,4513,11823,"algorithms for mining association rules in bag databases py hsu , yl chen , cc ling information sciencesâ ?? informatics and computer science : an & hellip ; ,",,,2004.0
39,0,1316,1342,"the a-tree : an index structure for high-dimensional spaces using relative approximation y sakurai , m yoshikawa , s uemura , h kojima vldb 2000",,,,2892,2113,the ssã · - tree : an improved index structure for similarity searches in a high-dimensional feature,"r kurniawati , js jin , ja shepherd",,
40,0,517,528,foreword : management of semistructured data,,,1997.0,9823,43088,"lore : a database management system for semistructued data j mchugh , s abiteboul , r goldmanâ ? ¦",,"acm sigmod ,",
41,0,1888,1920,"optimizing queries with universal quantification in object-oriented and object-relational databases j clauпen , a kemper , g moerkotte , k peithner vldb",,,1997.0,2802,1560,"maximal objects and the semantics of universal relation databases d maier , jd ullman acm transactions on database systems , 1983.0",,,
42,0,2468,2506,"index nesting - an efficient approach to indexing in object-oriented databases b ooi , j han , h lu , k tan vldb j.",,,1996.0,11403,52821,spatial query processing in an object-oriented database system ja orenstein,,proceedings of the 1986 acm sigmod international conference,
43,0,2116,2151,an efficient method for performing record deletions and updates using index scans vldb,c mohan,,2002.0,8603,35798,"an efficient indexing method for partitioned data ibm research report , ibm almaden research center , january ,","d choy , c mohan",,
44,0,1609,1637,keynote address,,,1995.0,2807,1596,keynote address t bailey,,"women in aviation international conference , reno , nv , march ,",
45,0,552,563,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997.0,12538,59808,"cost-based selection of path expression processing algorithms in object-oriented databases g gardarin , jr gruser , zh tang proceedings of the international conference on very large & hellip ; ,",,,1996.0
46,0,247,254,"join index hierarchies for supporting efficient navigations in object-oriented databases z xie , j han 1994",,vldb,,3618,6397,"support for polylingual persistence , interoperability and naming in object-oriented databases technical report tr-96-4 , university of massachusetts , computer","a kaplan , jcp wileden",,
47,0,2234,2272,"semantics for update rule programs and implementations in a relational database management system l raschid , j lobo 1996",,acm trans . database syst .,,3605,6326,performance analysis of a relational data base management system,"p hawthorn , m stonebraker",proceedings of the 1979 acm sigmod international conference,
48,0,1300,1326,"meaningful change detection in structured data s chawathe , h garcia-molina 1997",,sigmod conference,,6483,23335,"j. widom change detection in hierarchically structured information s chawathe , a rajaraman , h garcia-molina proc . of the acm sigmod int . conf . on management of",,,
49,0,2304,2342,editorial 2001,,,,8595,35760,"eic editorial ieee transactions on knowledge and data engineering , 2004.0",ps yu,,
