id,title,authors,venue,year
0,semantic integration of environmental models for application to global information systems and decision-making d. scott mackay,,sigmod record,1999.0
1,estimation of query-result distribution and its application in parallel-join load balancing vldb 1996,"viswanath poosala , yannis e. ioannidis",,
2,incremental maintenance for non-distributive aggregate functions vldb 2002,"themistoklis palpanas , richard sidle , hamid pirahesh , roberta cochrane",,
3,"cost-based selection of path expression processing algorithms in object-oriented databases zhao-hui tang , georges gardarin , jean-robert gruser vldb 1996",,,
4,"benchmarking spatial join operations with spatial output erik g. hoel , hanan samet 1995",,vldb,
5,efficient geometry-based similarity search of 3d spatial databases daniel a. keim sigmod conference,,,1999.0
6,mining the world wide web : an information search approach - book review aris m. ouksel sigmod record 2002,,,
7,enhanced abstract data types in object-relational databases vldb j. 1998,praveen seshadri,,
8,"report on dart ' 96 : databases : active and real-time ( concepts meet practice ) nandit soparkar , krithi ramamritham sigmod record 1997",,,
9,unisql 's next-generation object-relational database management system sigmod record,"phil janus , albert d'andrea",,1996.0
10,dual-buffering strategies in object bases 1994,"alfons kemper , donald kossmann",vldb,
11,"aurora : a data stream management system nesime tatbul , daniel j. abadi , c. erwin , anurag maskey , mitch cherniack , alex rasin , christian convey , a. singer , eduardo f. galvez , r. yan , ugur çetintemel , ying xing , stanley b. zdonik , michael stonebraker , donald carney , m. hatoun",,sigmod conference,2003.0
12,priority assignment in real-time active databases,"rajendran m. sivasankaran , bhaskar purimetla , john a. stankovic , krithi ramamritham , donald f. towsley",vldb j.,1996.0
13,"wavecluster : a wavelet based clustering approach for spatial data in very large databases surojit chatterjee , gholamhosein sheikholeslami , aidong zhang vldb j.",,,2000.0
14,"approximate query mapping : accounting for translation closeness hector garcia-molina , kevin chen-chuan chang 2001",,vldb j.,
15,sprint : a scalable parallel classifier for data mining,"john c. shafer , rakesh agrawal , manish mehta",vldb,1996.0
16,snowball : a prototype system for extracting relations from large text collections sigmod conference,"jeff pavel , luis gravano , aleksandr voskoboynik , eugene agichtein , viktoriya sokolova",,2001.0
17,a framework for implementing hypothetical queries sigmod conference 1997,"timothy griffin , richard hull",,
18,parametric query optimization vldb j. 1997,"raymond t. ng , timos k. sellis , yannis e. ioannidis , kyuseok shim",,
19,lineage tracing for general data warehouse transformations,"yingwei cui , jennifer widom",vldb,2001.0
20,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ) joachim hammer sigmod record 2002,,,
21,approximating aggregate queries about web pages via random walks vldb 2000,"jittat fakcharoenphol , steve chien , ziv bar-yossef , alexander berg , dror weitz",,
22,"a query language for a web-site management system dan suciu , daniela florescu , alon y. levy , mary f. fernandez 1997",,sigmod record,
23,supporting periodic authorizations and temporal reasoning in database access control 1996,"elena ferrari , pierangela samarati , claudio bettini , elisa bertino",vldb,
24,"free parallel data mining bin li , dennis shasha sigmod conference 1998",,,
25,high level indexing of user-defined types 1999,"brian t. tran , jyh-herng chow , michelle jou , jean grandbois , yun wang , you-chin fuh , weidong chen , nelson mendonça mattos",vldb,
26,pc database systems - present and future philip a. bernstein,,vldb,1994.0
27,form-based proxy caching for database-backed web sites,"jeffrey f. naughton , qiong luo",vldb,2001.0
28,"a logical view of structured files tova milo , serge abiteboul , sophie cluet",,vldb j.,1998.0
29,"dbglobe : a service-oriented p2p system for global computing evaggelia pitoura , serge abiteboul , michalis vazirgiannis , dieter pfoser , george samaras sigmod record",,,2003.0
30,database patchwork on the internet,"reinhard braumandl , alfons kemper , donald kossmann",sigmod conference,1999.0
31,scientific databases - state of the art and future directions vldb,"yannis e. ioannidis , maria zemankova",,1994.0
32,a generic approach to bulk loading multidimensional index structures vldb,"bernhard seeger , peter widmayer , jochen van den bercken",,1997.0
33,"data bubbles for non-vector data : speeding-up hierarchical clustering in arbitrary metric spaces jörg sander , jianjun zhou",,vldb,2003.0
34,efficient snapshot differential algorithms for data warehousing,"hector garcia-molina , wilburt labio",vldb,1996.0
35,"integrating triggers and declarative constraints in sql database sytems roberta cochrane , hamid pirahesh , nelson mendonça mattos",,vldb,1996.0
36,efficient ir-style keyword search over relational databases,"yannis papakonstantinou , luis gravano , vagelis hristidis",vldb,2003.0
37,"indexing of now-relative spatio-bitemporal data simonas saltenis , christian s. jensen",,vldb j.,2002.0
38,"temporal coalescing with now , granularity , and incomplete information sigmod conference",curtis e. dyreson,,2003.0
39,database research at ut arlington sigmod record 2003,"sharma chakravarthy , y. alp aslandogan , ramez elmasri , leonidas fegaras , jung-hwan oh",,
40,why decision support fails and how to fix it sigmod record 1995,"kevin strehlo , ralph kimball",,
41,a low-cost storage server for movie on demand databases 1994,"alexandros biliris , banu özden , abraham silberschatz , rajeev rastogi",vldb,
42,generating call-level interfaces for advanced database application programming vldb,"theo härder , norbert ritter , udo nink",,1999.0
43,"clustering by pattern similarity in large data sets haixun wang , wei wang , philip s. yu , jiong yang 2002",,sigmod conference,
44,mocha : a database middleware system featuring automatic deployment of application-specific functionality,"manuel rodriguez-martinez , joseph jájá , john m. mcgann , nick roussopoulos , zhexuan song , stephen kelley , vadim katz",sigmod conference,2000.0
45,"fact : a learning based web query processing system zengping tian , hongjun lu , yanlei diao , songting chen 2000",,sigmod conference,
46,sql multimedia and application packages ( sql/mm ) sigmod record 2001,"jim melton , andrew eisenberg",,
47,bellcore 's adapt/x harness system for managing information on internet and intranets amit p. sheth vldb 1996,,,
48,xml data management go native or spruce up relational systems ? ( panel abstract ) per-åke larson,,sigmod conference,2001.0
49,"an overview of data warehousing and olap technology surajit chaudhuri , umeshwar dayal",,sigmod record,1997.0
50,staggered striping in multimedia information systems 1994,"steven berson , richard r. muntz , shahram ghandeharizadeh , xiangyu ju",sigmod conference,
51,multimedia streaming in large-scale sensor networks with mobile swarms sigmod record,"mario gerla , kaixin xu",,2003.0
52,how to modify sql queries in order to guarantee sure answers,hans-joachim klein,sigmod record,1994.0
53,materialization : a powerful and ubiquitous abstraction pattern vldb,"alain pirotte , esteban zimányi , tatiana yakusheva , david massart",,1994.0
54,"dynamic content acceleration : a caching solution to enable scalable dynamic web page generation debra e. vandermeer , krithi ramamritham , helen m. thomas , anindya datta , kaushik dutta 2001",,sigmod conference,
55,data modelling in the large,martin bertram,sigmod record,1994.0
56,updating xml,"daniel s. weld , zachary g. ives , igor tatarinov , alon y. halevy",sigmod conference,2001.0
57,"research in information managment at dublin city university alan f. smeaton , mark roantree sigmod record 2002",,,
58,the multidimensional database system rasdaman,"andreas dehmel , peter baumann , norbert widmann , roland ritsch , paula furtado",sigmod conference,1998.0
59,"analyzing energy behavior of spatial access methods for memory-resident data anand sivasubramaniam , sudhanva gurumurthi , narayanan vijaykrishnan , ning an , mary jane irwin , mahmut t. kandemir vldb",,,2001.0
60,the value of merge-join and hash-join in sql server vldb,goetz graefe,,1999.0
61,efficient execution of joins in a star schema sigmod conference,andreas weininger,,2002.0
62,picodmbs : scaling down database techniques for the smartcard,"luc bouganim , patrick valduriez , philippe pucheral , christophe bobineau",vldb,2000.0
63,multi-dimensional substring selectivity estimation vldb,"divesh srivastava , olga kapitskaia , raymond t. ng , h. v. jagadish",,1999.0
64,"the intrinsic problems of structural heterogeneity and an approach to their solution theo härder , joachim thomas , günter sauter",,vldb j.,1999.0
65,a database perspective on lotus domino/notes,c. mohan,sigmod conference,1999.0
66,"domains , relations and religious wars rafael camps sigmod record",,,1996.0
67,"cache-and-query for wide area sensor databases phillip b. gibbons , srinivasan seshan , suman kumar nath , amol deshpande sigmod conference",,,2003.0
68,"a cost model for clustered object-oriented databases zhao-hui tang , jean-robert gruser , georges gardarin vldb 1995",,,
69,expiring data in a warehouse vldb,"wilburt labio , jun yang , hector garcia-molina",,1998.0
70,opportunities in information management and assurance xiaolei qian sigmod record,,,1997.0
71,"finding data in the neighborhood andré eickler , alfons kemper , donald kossmann vldb",,,1997.0
72,prefer : a system for the efficient execution of multi-parametric ranked queries sigmod conference,"yannis papakonstantinou , vagelis hristidis , nick koudas",,2001.0
73,editor 's notes,ling liu,sigmod record,2002.0
74,rainbow : mapping-driven xquery processing system sigmod conference,"mukesh mulchandani , elke a. rundensteiner , xin zhang , brian murphy , steffen christ",,2002.0
75,algebraic query optimisation for database programming languages vldb j.,"carol small , alexandra poulovassilis",,1996.0
76,static analysis techniques for predicting the behavior of active database rules,"alexander aiken , jennifer widom , joseph m. hellerstein",acm trans . database syst .,1995.0
77,"the ores temporal database management system babis theodoulidis , george karvelis , jayant chaudhary , aziz ait-braham , simon sou , george andrianopoulos sigmod conference",,,1994.0
78,"magic conditions hamid pirahesh , inderpal singh mumick , raghu ramakrishnan , sheldon j. finkelstein 1996",,acm trans . database syst .,
79,l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms 1995,"wolfgang klas , frank moser , achim kraiss",vldb,
80,"ubiquitous , self-tuning , scalable servers peter m. spiro sigmod conference",,,1998.0
81,explaining differences in multidimensional aggregates sunita sarawagi vldb,,,1999.0
82,"a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system kun-lung wu , philip s. yu , james z. teng , jen-yao chung 1995",,vldb,
83,database in crisis and transition : a technical agenda for the year 2001 sigmod conference,david vaskevitch,,1994.0
84,"workflow automation : applications , technology , and research ( tutorial ) amit p. sheth 1995",,sigmod conference,
85,"workshop on performance and architecture of web servers ( paws-2000 , held in conjection with sigmetrics-2000 ) krishna kant , prasant mohapatra sigmod record",,,2000.0
86,a scalable algorithm for answering queries using views,"rachel pottinger , alon y. levy",vldb,2000.0
87,why i like working in academia richard t. snodgrass sigmod record,,,2002.0
88,efficient and tunable similar set retrieval,"dimitrios gunopulos , aristides gionis , nick koudas",sigmod conference,2001.0
89,fast and accurate text classification via multiple linear discriminant projections 2002,"mahesh v. soundalgekar , soumen chakrabarti , shourya roy",vldb,
90,"business process coordination : state of the art , trends , and open issues meichun hsu , rivka ladin , umeshwar dayal",,vldb,2001.0
91,work and information practices in the sciences of biodiversity geoffrey c. bowker 2000,,vldb,
92,"data modeling of time-based media simon j. gibbs , christian breiteneder , dennis tsichritzis sigmod conference 1994",,,
93,space optimization in deductive databases acm trans . database syst . 1995,"s. sudarshan , divesh srivastava , raghu ramakrishnan , jeffrey f. naughton",,
94,chair 's message,richard t. snodgrass,sigmod record,2000.0
95,improving index performance through prefetching,"shimin chen , todd c. mowry , phillip b. gibbons",sigmod conference,2001.0
96,new programs at darpa and nsf sigmod record,xiaolei qian,,1996.0
97,investigation of algebraic query optimisation techniques for database programming languages,"alexandra poulovassilis , carol small",vldb,1994.0
98,"physical data independence , constraints , and optimization with universal plans lucian popa , alin deutsch , val tannen 1999",,vldb,
99,an adaptive query execution system for data integration,"daniel s. weld , alon y. levy , marc friedman , zachary g. ives , daniela florescu",sigmod conference,1999.0
100,the semantic web paving the way to the knowledge society pierre-paul sondag vldb,,,2001.0
101,"parallel algorithms for high-dimensional similarity joins for data mining applications rakesh agrawal , john c. shafer vldb 1997",,,
102,path sharing and predicate evaluation for high-performance xml filtering acm trans . database syst .,"yanlei diao , hao zhang , peter m. fischer , michael j. franklin , mehmet altinel",,2003.0
103,"processing set expressions over continuous update streams sumit ganguly , minos n. garofalakis , rajeev rastogi 2003",,sigmod conference,
104,performance measurements of compressed bitmap indices,theodore johnson,vldb,1999.0
105,hierarchical prefix cubes for range-sum queries vldb 1999,"chee yong chan , yannis e. ioannidis",,
106,removing permissions in the flexible authorization framework acm trans . database syst .,"åsa hagström , duminda wijesekera , francesco parisi-presicce , sushil jajodia",,2003.0
107,ariadne : a system for constructing mediators for internet sources 1998,"ion muslea , greg barish , andrew philpot , craig a. knoblock , steven minton , josé luis ambite , pragnesh jay modi , sheila tejada , naveen ashish",sigmod conference,
108,multiway spatial joins,"dimitris papadias , nikos mamoulis",acm trans . database syst .,2001.0
109,implementing data cubes efficiently sigmod conference 1996,"anand rajaraman , jeffrey d. ullman , venky harinarayan",,
110,"recent design trade-offs in sql3 nelson mendonça mattos , linda g. demichiel",,sigmod record,1994.0
111,"sqlj-part 1 : sql routines using the java programming language andrew eisenberg , jim melton sigmod record 1999",,,
112,"similarity-based queries for time series data alberto o. mendelzon , davood rafiei sigmod conference",,,1997.0
113,"a distributed scientific data archive using the web , xml and sql/med alistair n. dunlop , jasmin l. wason , denis a. nicole , mark papiani 1999",,sigmod record,
114,information warfare and security - book review h. v. jagadish sigmod record 2001,,,
115,the persistent cache : improving oid indexing in temporal object-oriented database systems kjetil nørvåg vldb 1999,,,
116,"estimating the selectivity of spatial queries using the ` correlation ' fractal dimension christos faloutsos , alberto belussi 1995",,vldb,
117,semantic heterogeneity resolution in federated databases by metadata implantation and stepwise evolution vldb j.,"dennis mcleod , goksel aslan",,1999.0
118,"performance evaluation of a new distributed deadlock detection algorithm chim-fu yeung , kam-yiu lam , sheung-lun hung sigmod record 1994",,,
119,sql and management of external data sigmod record 2001,"jan-eike michels , jim melton , krishna g. kulkarni , peter m. schwarz , kathy zeidenstein , vanja josifovski",,
120,"aquery : query language for ordered data , optimization techniques , and experiments alberto lerner , dennis shasha vldb 2003",,,
121,"resource scheduling in enhanced pay-per-view continuous media databases banu özden , minos n. garofalakis , abraham silberschatz",,vldb,1997.0
122,review : a real time virtual walkthrough system sigmod conference 2001,"yixin ruan , zhiyong huang , kian-lee tan , jason chionh , lidan shou",,
123,"a modified random perturbation method for database security norman s. matloff , patrick tendick 1994",,acm trans . database syst .,
124,managing web data dan suciu sigmod conference 1999,,,
125,loading the data warehouse across various parallel architectures vldb 1996,vijay v. raghavan,,
126,hodfa : an architectural framework for homogenizing heterogeneous legacy database 1995,"qing li , kamalakar karlapalem , chung-dak shum",sigmod record,
127,"database tuning : principles , experiments , and troubleshooting techniques philippe bonnet , dennis shasha vldb 2002",,,
128,"reminiscences an influential papers jeffrey f. naughton , minos n. garofalakis , kenneth a. ross",,sigmod record,2003.0
129,application of oodb and sgml techniques in text database : an electronic dictionary system jian zhang sigmod record 1995,,,
130,java and relational databases : sqlj ( tutorial ) sigmod conference 1998,"johannes klein , richard pledereder , gray clossman , brian becker , phil shaw , mark hapner",,
131,covering indexes for branching path queries sigmod conference,"raghav kaushik , henry f. korth , jeffrey f. naughton , philip bohannon",,2002.0
132,semint : a system prototype for semantic integration in heterogeneous databases,"wen-syan li , chris clifton",sigmod conference,1995.0
133,"career-enhancing services at sigmod online alexandros labrinidis , alberto o. mendelzon 2001",,sigmod record,
134,"revisiting commit processing in distributed database systems krithi ramamritham , jayant r. haritsa , ramesh gupta sigmod conference",,,1997.0
135,type-checking oql queries in the odmg type systems suad alagic 1999,,acm trans . database syst .,
136,things every update replication customer should know,rob golding,sigmod conference,1995.0
137,query optimization by predicate move-around,"inderpal singh mumick , alon y. levy , yehoshua sagiv",vldb,1994.0
138,"catching the boat with strudel : experiences with a web-site management system jaewoo kang , dan suciu , alon y. levy , daniela florescu , mary f. fernandez",,sigmod conference,1998.0
139,adaptable query optimization and evaluation in temporal middleware 2001,"christian s. jensen , richard t. snodgrass , giedrius slivinskas",sigmod conference,
140,"birch : an efficient data clustering method for very large databases raghu ramakrishnan , miron livny , tian zhang",,sigmod conference,1996.0
141,time-parameterized queries in spatio-temporal databases,"dimitris papadias , yufei tao",sigmod conference,2002.0
142,"scalable parallel data mining for association rules eui-hong han , vipin kumar , george karypis",,sigmod conference,1997.0
143,"an algebraic approach to static analysis of active database rules jennifer widom , elena baralis 2000",,acm trans . database syst .,
144,"os support for vldbs : unix enhancements for the teradata data base sorana rabinovici , john catozzi",,vldb,1995.0
145,"dwarf : shrinking the petacube yannis kotidis , yannis sismanis , antonios deligiannakis , nick roussopoulos sigmod conference",,,2002.0
146,thinksheet : a tool for tailoring complex documents sigmod conference,"dao-i lin , peter piatko , roman yangarber , dennis shasha",,1996.0
147,"on-line reorganization of sparsely-populated b + trees betty salzberg , chendong zou 1996",,sigmod conference,
148,handling very large databases with informix extended parallel server andreas weininger 2000,,sigmod conference,
149,"including group-by in query optimization surajit chaudhuri , kyuseok shim vldb",,,1994.0
150,value-cognizant speculative concurrency control vldb 1995,"azer bestavros , spyridon braoudakis",,
151,data mining : practical machine learning tools and techniques - book review sigmod record 2002,james geller,,
152,report on the 8th international workshop on knowledge representation meets databases ( krdb ) 2001,"dan suciu , maurizio lenzerini , daniele nardi , werner nutt",sigmod record,
153,"starts : stanford proposal for internet meta-searching ( experience paper ) hector garcia-molina , luis gravano , kevin chen-chuan chang , andreas paepcke sigmod conference",,,1997.0
154,the x-tree : an index structure for high-dimensional data 1996,"hans-peter kriegel , stefan berchtold , daniel a. keim",vldb,
155,eliminating fuzzy duplicates in data warehouses vldb,"rohit ananthakrishna , venkatesh ganti , surajit chaudhuri",,2002.0
156,a database striptease or how to manage your personal databases vldb 2003,"michael j. franklin , surajit chaudhuri , alejandro p. buchmann , gerhard weikum , daniel a. keim , martin l. kersten",,
157,an ebxml infrastructure implementation through uddi registries and rosettanet pips,"yildiray kabak , gokce laleci , sait pektas , serkan toprak , yusuf tambag , gokhan kurt , asuman dogac , pinar pembecioglu",sigmod conference,2002.0
158,temporal database system implementations michael h. böhlen 1995,,sigmod record,
159,"xsearch : a semantic search engine for xml yaron kanza , yehoshua sagiv , sara cohen , jonathan mamou vldb",,,2003.0
160,opossum : desk-top schema management through customizable visualization vldb 1995,"miron livny , eben m. haber , yannis e. ioannidis",,
161,"atomicity and isolation for transactional processes hans-jörg schek , gustavo alonso , heiko schuldt , catriel beeri 2002",,acm trans . database syst .,
162,logical logging to extend recovery to new domains sigmod conference 1999,"david b. lomet , mark r. tuttle",,
163,"the impress ddt : a database design toolbox based on a formal specification language jacek skowronek , maurice van keulen , jan flokstra",,sigmod conference,1994.0
164,online aggregation,"helen j. wang , peter j. haas , joseph m. hellerstein",sigmod conference,1997.0
165,"semi-automatic , self-adaptive control of garbage collection rates in object databases sigmod conference","artur klauser , alexander l. wolf , benjamin g. zorn , jonathan e. cook",,1996.0
166,a single pass computing engine for interactive analysis of vldbs 1998,ted mihalisin,vldb,
167,fast nearest neighbor search in medical image databases,"zenon protopapas , christos faloutsos , eliot siegel , flip korn , nikolaos sidiropoulos",vldb,1996.0
168,"in reply to domains , relations and religious wars hugh darwen 1996",,sigmod record,
169,bank of america case study : the information currency advantage,"mark jahnke , felipe cariño",vldb,1998.0
170,tree pattern query minimization,"divesh srivastava , sungran cho , laks v. s. lakshmanan , sihem amer-yahia",vldb j.,2002.0
171,fine-grained sharing in a page server oodbms sigmod conference 1994,"michael j. carey , markos zaharioudakis , michael j. franklin",,
172,adept : an agent-based approach to business process management,"timothy j. norman , nicholas r. jennings , peyman faratin",sigmod record,1998.0
173,introduction to the career forum column 2001,alexandros labrinidis,sigmod record,
174,"image mining in iris : integrated retinal information system kheng guan goh , wynne hsu , mong-li lee 2000",,sigmod conference,
175,enterprise information architectures -- they 're finally changing 1994,wesley p. melling,sigmod conference,
176,integrating information for on demand computing nelson mendonça mattos vldb,,,2003.0
177,"thémis : a database programming language handling integrity constraints anne doucet , véronique benzaken vldb j. 1995",,,
178,an introduction to deductive database languages and systems,"kotagiri ramamohanarao , james harland",vldb j.,1994.0
179,information management challenges from the aerospace industry suryanarayana m. sripada vldb,,,2002.0
180,state of the art in workflow management research and products c. mohan sigmod conference,,,1996.0
181,"videoanywhere : a system for searching and managing distributed video assets amit p. sheth , kshitij shah , clemens bertram sigmod record",,,1999.0
182,"phoenix project : fault-tolerant applications roger s. barga , david b. lomet sigmod record 2002",,,
183,"cluster validity methods : part i michalis vazirgiannis , yannis batistakis , maria halkidi 2002",,sigmod record,
184,directv and oracle rdb : the challenges of vldb transaction processing 1995,william l. gettys,sigmod conference,
185,ensuring relaxed atomicity for flexible transactions in multidatabase systems sigmod conference 1994,"bharat k. bhargava , aidong zhang , marian h. nodine , omran a. bukhres",,
186,"replication , consistency , and practicality : are these mutually exclusive ? avishai wool , henry f. korth , yuri breitbart , todd a. anderson",,sigmod conference,1998.0
187,searching in metric spaces with user-defined and approximate distances,"marco patella , paolo ciaccia",acm trans . database syst .,2002.0
188,"algorithms for deferred view maintenance leonid libkin , inderpal singh mumick , latha s. colby , howard trickey , timothy griffin sigmod conference",,,1996.0
189,"design and development of a stream service in a heterogenous client environment stavros christodoulakis , nikos pappas vldb 2000",,,
190,"cougar : the network is the database wai fu fung , david sun , johannes gehrke sigmod conference",,,2002.0
191,"the data that you wo n't find in databases : tutorial panel on data exchange formats david maier , peter buneman sigmod conference",,,1995.0
192,"effective timestamping in databases christian s. jensen , kristian torp , richard t. snodgrass vldb j. 2000",,,
193,silkroute : a framework for publishing relational data in xml acm trans . database syst .,"dan suciu , yana kadiyska , wang chiew tan , mary f. fernandez , atsuyuki morishima",,2002.0
194,"the tpr * - tree : an optimized spatio-temporal access method for predictive queries dimitris papadias , jimeng sun , yufei tao",,vldb,2003.0
195,editor 's notes 1996,jennifer widom,sigmod record,
196,the nd-tree : a dynamic indexing technique for multidimensional non-ordered discrete data spaces vldb 2003,"gang qian , qiang xue , sakti pramanik , qiang zhu",,
197,transactional publish / subscribe : the proactive multicast of database changes,arvola chan,sigmod conference,1998.0
198,"exploiting constraint-like data characterizations in query optimization jarek gryz , calisto zuzarte , parke godfrey 2001",,sigmod conference,
199,metu interoperable database system sigmod conference,"sema mancuhan , ismailcem budak arpinar , fatma ozcan , pinar koksal , asuman dogac , gökhan özhan , cevdet dengi , ugur halici , cem evrendilek , sena nural , ebru kilic",,1996.0
200,"clustering techniques for minimizing external path length a. a. diwan , s. sudarshan , sanjeeva rane , s. seshadri vldb",,,1996.0
201,the national medical knowledge bank warren sterling 1998,,vldb,
202,guest editorial vldb j. 2003,"vijay atluri , anupam joshi , yelena yesha",,
203,report on fqas 2002 : fifth international conference on flexible query answering systems 2003,"amihai motro , troels andreasen",sigmod record,
204,an automated system for web portal personalization vldb 2002,"philip s. yu , charu c. aggarwal",,
205,webfilter : a high-throughput xml-based publish and subscribe system vldb 2001,"françoise fabret , dennis shasha , hans-arno jacobsen , françois llirbat , joão pereira",,
206,"ogdi : toward interoperability among geospatial databases denis gouin , henry kucera , christian larouche , gilles clement , paul morin",,sigmod record,1997.0
207,editor 's notes michael j. franklin 2000,,sigmod record,
208,"dimensionality reduction for similarity searching in dynamic databases ambuj k. singh , kothuri venkata ravi kanth , divyakant agrawal sigmod conference",,,1998.0
209,"push technology personalization through event correlation asaf adi , david botzer , tali yatzkar-haham , opher etzion",,vldb,2000.0
210,oracle industrial exhibit 1998,amy pogue,vldb,
211,a one-pass algorithm for accurately estimating quantiles for disk-resident data vldb,"khaled alsabti , vineet singh , sanjay ranka",,1997.0
212,editor 's notes sigmod record 2001,ling liu,,
213,translating web data vldb 2002,"renée j. miller , ronald fagin , yannis velegrakis , mauricio a. hernández , lucian popa",,
214,repository system engineering philip a. bernstein,,sigmod conference,1996.0
215,"semantic integrity support in sql : 1999 and commercial ( object - ) relational database management systems michael gertz , can türker vldb j. 2001",,,
216,"adaptable pointer swizzling strategies in object bases : design , realization , and quantitative analysis alfons kemper , donald kossmann vldb j.",,,1995.0
217,implementing xquery paul cotton sigmod conference,,,2002.0
218,mining surprising patterns using temporal description length vldb,"soumen chakrabarti , byron dom , sunita sarawagi",,1998.0
219,"continually evaluating similarity-based pattern queries on a streaming time series like gao , xiaoyang sean wang sigmod conference 2002",,,
220,efficient approximation of optimization queries under parametric aggregation constraints,"dimitrios gunopulos , nick koudas , divesh srivastava , michail vlachos , sudipto guha",vldb,2003.0
221,"the aditi deductive database system kotagiri ramamohanarao , david b. kemp , jayen vaghani , tim s. leask , james harland , peter j. stuckey , zoltan somogyi 1994",,vldb j.,
222,on random sampling over joins 1999,"vivek r. narasayya , surajit chaudhuri , rajeev motwani",sigmod conference,
223,"feedbackbypass : a new approach to interactive similarity query processing paolo ciaccia , florian waas , ilaria bartolini 2001",,vldb,
224,"a multimedia presentation algebra maria luisa sapino , sibel adali , v. s. subrahmanian sigmod conference",,,1999.0
225,a structured approach for the definition of the semantics of active databases acm trans . database syst . 1995,"letizia tanca , piero fraternali",,
226,"fast algorithms for mining association rules in large databases ramakrishnan srikant , rakesh agrawal 1994",,vldb,
227,"combinatorial pattern discovery for scientific data : some preliminary results kaizhong zhang , jason tsong-li wang , bruce a. shapiro , thomas g. marr , gung-wei chirn , dennis shasha 1994",,sigmod conference,
228,"partition based spatial-merge join david j. dewitt , jignesh m. patel",,sigmod conference,1996.0
229,"optimal grid-clustering : towards breaking the curse of dimensionality in high-dimensional clustering daniel a. keim , alexander hinneburg",,vldb,1999.0
230,the database group at university of hagen ( fernuniversitaet ),"silke mittrach , gunter schlageter , thomas berkel , andreas scherer , eberhard heuel , wolfgang wilkes",sigmod record,1995.0
231,extended wavelets for multiple measures 2003,"antonios deligiannakis , nick roussopoulos",sigmod conference,
232,"optimal multi-step k-nearest neighbor search thomas seidl , hans-peter kriegel sigmod conference 1998",,,
