_id,ltable_id,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_id,rtable_title,rtable_authors,rtable_venue,rtable_year,label
0,1662,web caching for database applications with oracle web cache,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",sigmod conference,2002.0,3861,form-based proxy caching for database-backed web sites very large data bases,"qiong luo , jeffrey f. naughton",,2001.0,0
1,210,oracle industrial exhibit 1998,amy pogue,vldb,,4574,objectivity industrial exhibit objectivity very large data bases,,,1998.0,0
2,2339,extracting large-scale knowledge bases from the web,"andrew tomkins , prabhakar raghavan , ravi kumar , sridhar rajagopalan",vldb,1999.0,3752,amalgamating knowledge bases v. s. subrahmanian acm transactions on database systems ( tods ),,,1994.0,0
3,579,efficient optimistic concurrency control using loosely synchronized clocks sigmod conference,"barbara liskov , atul adya , robert gruber , umesh maheshwari",,1995.0,4038,efficient optimistic concurrency control using loosely synchronized clocks,"atul adya , robert gruber , barbara liskov , umesh maheshwari",international conference on management of data,1995.0,1
4,2061,"odefs : a file system interface to an object-oriented database narain h. gehani , william d. roome , h. v. jagadish vldb",,,1994.0,4073,unisql/x unified relational and object-oriented database system won kim 1994,,international conference on management of data,,0
5,2438,emergent semantics and the multimedia semantic web 2002,"william i. grosky , farshad fotouhi , d. v. sreenath",sigmod record,,3075,"emergent semantics and the multimedia semantic web w. i. grosky , d. v. sreenath , f. fotouhi",,acm sigmod record,2002.0,1
6,403,dwms : data warehouse management system narendra mohan,,vldb,1996.0,4309,strudel : a web site management system 1997,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,,0
7,1463,data mining techniques sigmod conference,jiawei han,,1996.0,3200,"data mining : concepts and techniques by jiawei han and micheline kamber fernando berzal , nicolf &#225; s mat &#237; n acm sigmod record",,,2002.0,0
8,1217,"qursed : querying and reporting semistructured data yannis papakonstantinou , michalis petropoulos , vasilis vassalos sigmod conference 2002",,,,4242,"extracting schema from semistructured data svetlozar nestorov , serge abiteboul , rajeev motwani 1998",,international conference on management of data,,0
9,1734,advances in databases and information systems ( adbis ) 2002,"albertas caplinskas , johann eder , olegas vasilecas",sigmod record,,3356,"amicalola report : database and information systems research challenges and opportunities in semantic web and enterprises amit sheth , robert meersman acm sigmod record",,,2002.0,0
10,2108,query unnesting in object-oriented databases leonidas fegaras 1998,,sigmod conference,,3565,"calibrating the query optimizer cost model of iro-db , an object-oriented federated database system georges gardarin , fei sha , zhao-hui tang very large data bases",,,1996.0,0
11,1008,"data management for pervasive computing mitch cherniack , stanley b. zdonik , michael j. franklin vldb",,,2001.0,3727,"data management for pervasive computing mitch cherniack , michael j. franklin , stanley b. zdonik very large data bases 2001",,,,1
12,1420,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,3113,"databases and transaction processing : an application-oriented approach philip m. lewis , arthur bernstein , michael kifer",,acm sigmod record,2002.0,0
13,1415,declarative updates of relational databases,weidong chen,acm trans . database syst .,1995.0,3622,enhanced abstract data types in object-relational databases,praveen seshadri,the vldb journal -- the international journal on very large data bases,1998.0,0
14,1385,"a taxonomy for secure object-oriented databases sebastiaan h. von solms , martin s. olivier",,acm trans . database syst .,1994.0,3760,a taxonomy for secure object-oriented databases,"martin s. olivier , sebastiaan h. von solms",acm transactions on database systems ( tods ),1994.0,1
15,1946,"what is the data warehousing problem ? ( are materialized views the answer ? ) inderpal singh mumick , ashish gupta vldb 1996",,,,3515,"algorithms for materialized view design in data warehousing environment jian yang , kamalakar karlapalem , qing li 1997",,very large data bases,,0
16,2326,"enterprise objects framework , a second generation object-relational enabler charly kleissner sigmod conference 1995",,,,3989,enterprise objects framework : a second generation object-relational enabler charly kleissner international conference on management of data 1995,,,,1
17,192,"effective timestamping in databases christian s. jensen , kristian torp , richard t. snodgrass vldb j. 2000",,,,3656,"priority assignment in real-time active databases rajendran m. sivasankaran , john a. stankovic , don towsley , bhaskar purimetla , krithi ramamritham the vldb journal -- the international journal on very large data bases",,,1996.0,0
18,254,lambda-db : an odmg-based object-oriented dbms 2000,"arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan",sigmod conference,,4074,odmg-93 : a standard for object-oriented dbmss r. g. g. cattell,,international conference on management of data,1994.0,0
19,491,"compressing sql workloads surajit chaudhuri , ashish kumar gupta , vivek r. narasayya sigmod conference",,,2002.0,3189,compressing sql workloads international conference on management of data,"surajit chaudhuri , ashish kumar gupta , vivek narasayya",,2002.0,1
20,970,"the algres testbed of chimera : an active object-oriented database system giuseppe psaila , stefano ceri , stefano paraboschi , piero fraternali",,sigmod conference,1995.0,2696,the trigs active object-oriented database system - an overview,"g. kappel , w. retschitzegger",acm sigmod record,1998.0,0
21,1832,on wrapping query languages and efficient xml integration sigmod conference,"jérôme siméon , vassilis christophides , sophie cluet",,2000.0,2544,"on wrapping query languages and efficient xml integration vassilis christophides , sophie cluet , j &#233; r &#466; me sim &#232; on 2000",,international conference on management of data,,1
22,1391,document management as a database problem rudolf bayer 1995,,vldb,,3433,"is web-site management a database problem ? daniela florescu , alon y. levy , dan suciu very large data bases 1998",,,,0
23,1063,"index nesting - an efficient approach to indexing in object-oriented databases jiawei han , beng chin ooi , hongjun lu , kian-lee tan",,vldb j.,1996.0,4358,converting relational to object-oriented databases 1997,joseph fong,acm sigmod record,,0
24,1927,controlling data warehouses with knowledge networks,"jan-dirk becker , matthias jarke , andreas boehmer , elvira schaefer",vldb,2000.0,3344,controlling data warehouses with knowledge networks very large data bases 2000,"elvira schaefer , jan-dirk becker , andreas boehmer , matthias jarke",,,1
25,158,temporal database system implementations michael h. böhlen 1995,,sigmod record,,3954,temporal conditions and integrity constraints in active database systems international conference on management of data,"a. prasad sistla , ouri wolfson",,1995.0,0
26,592,ansi sql hierarchical processing can fully integrate native xml sigmod record,michael m. david,,2003.0,3365,ansi sql hierarchical processing can fully integrate native xml acm sigmod record 2003,michael m. david,,,1
27,2104,"warping indexes with envelope transforms for query by humming dennis shasha , yunyue zhu",,sigmod conference,2003.0,4532,"warping indexes with envelope transforms for query by humming yunyue zhu , dennis shasha",,international conference on management of data,2003.0,1
28,545,"reminiscences on influential papers theodore johnson , amr el abbadi , richard t. snodgrass , kenneth a. ross 2002",,sigmod record,,3107,influential papers ken ross acm sigmod record,,,2002.0,0
