id,label,left_index,left_id,left_title,left_authors,left_venue,left_year,right_index,right_id,right_title,right_authors,right_venue,right_year
0,0,137,141,query optimization by predicate move-around,"inderpal singh mumick , alon y. levy , yehoshua sagiv",vldb,1994.0,4648,2211,including group-by in query optimization 1994,"surajit chaudhuri , kyuseok shim",very large data bases,
1,0,1020,1074,"database technologies for electronic commerce yirong xu , ramakrishnan srikant , rakesh agrawal vldb 2002",,,,4292,1849,databases on the web : technologies for federation architectures and case studies ralf kramer,,international conference on management of data,1997.0
2,1,1301,1367,efficiently supporting ad hoc queries in large datasets of time sequences sigmod conference 1997,"h. v. jagadish , christos faloutsos , flip korn",,,4258,1815,efficiently supporting ad hoc queries in large datasets of time sequences international conference on management of data,"flip korn , h. v. jagadish , christos faloutsos",,1997.0
3,0,885,933,"outerjoin simplification and reordering for query optimization césar a. galindo-legaria , arnon rosenthal 1997",,acm trans . database syst .,,3596,1153,"heuristic and randomized optimization for the join ordering problem michael steinbrunn , guido moerkotte , alfons kemper",,the vldb journal -- the international journal on very large data bases,1997.0
4,0,2156,2282,robust estimation with sampling and approximate pre-aggregation chris jermaine vldb 2003,,,,2777,306,"a robust , optimization-based approach for approximate answering of aggregate queries 2001","surajit chaudhuri , gautam das , vivek narasayya",international conference on management of data,
5,0,1396,1471,evaluating functional joins along nested reference sets in object-relational and object-oriented databases vldb,"alfons kemper , reinhard braumandl , jens claußen",,1998.0,3625,1182,garbage collection in object-oriented databases using transactional cyclic reference counting the vldb journal -- the international journal on very large data bases,"p. roy , s. seshadri , a. silberschatz , s. sudarshan , s. ashwin",,1998.0
6,0,2011,2129,promises and realities of active database systems 1995,"eric simon , angelika kotz dittrich",vldb,,3044,583,special issue on prototypes of deductive database systems 1994,k. ramamohanarao,the vldb journal -- the international journal on very large data bases,
7,1,602,634,diluting acid 1999,"peter thanisch , colin stirling , tim kempster",sigmod record,,2953,485,diluting acid acm sigmod record,"tim kempster , colin stirling , peter thanisch",,1999.0
8,0,1692,1788,"supporting top-k join queries in relational databases walid g. aref , ahmed k. elmagarmid , ihab f. ilyas vldb 2003",,,,3478,1035,"optimizing queries with universal quantification in object-oriented and object-relational databases jens clau &#223; en , alfons kemper , guido moerkotte , klaus peithner",,very large data bases,1997.0
9,1,1705,1803,"gea : a toolkit for gene expression analysis jessica m. phan , raymond t. ng",,sigmod conference,2002.0,3159,705,"gea : a toolkit for gene expression analysis jessica m. phan , raymond ng international conference on management of data",,,2002.0
