id,label,left_index,left_id,left_title,left_authors,left_venue,left_year,right_index,right_id,right_title,right_authors,right_venue,right_year
0,0,1662,1756,web caching for database applications with oracle web cache,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",sigmod conference,2002.0,3861,1418,form-based proxy caching for database-backed web sites very large data bases,"qiong luo , jeffrey f. naughton",,2001.0
1,0,210,217,oracle industrial exhibit 1998,amy pogue,vldb,,4574,2135,objectivity industrial exhibit objectivity very large data bases,,,1998.0
2,0,2339,2476,extracting large-scale knowledge bases from the web,"andrew tomkins , prabhakar raghavan , ravi kumar , sridhar rajagopalan",vldb,1999.0,3752,1309,amalgamating knowledge bases v. s. subrahmanian acm transactions on database systems ( tods ),,,1994.0
3,1,579,610,efficient optimistic concurrency control using loosely synchronized clocks sigmod conference,"barbara liskov , atul adya , robert gruber , umesh maheshwari",,1995.0,4038,1595,efficient optimistic concurrency control using loosely synchronized clocks,"atul adya , robert gruber , barbara liskov , umesh maheshwari",international conference on management of data,1995.0
4,0,2061,2183,"odefs : a file system interface to an object-oriented database narain h. gehani , william d. roome , h. v. jagadish vldb",,,1994.0,4073,1630,unisql/x unified relational and object-oriented database system won kim 1994,,international conference on management of data,
5,1,2438,2580,emergent semantics and the multimedia semantic web 2002,"william i. grosky , farshad fotouhi , d. v. sreenath",sigmod record,,3075,616,"emergent semantics and the multimedia semantic web w. i. grosky , d. v. sreenath , f. fotouhi",,acm sigmod record,2002.0
6,0,403,420,dwms : data warehouse management system narendra mohan,,vldb,1996.0,4309,1866,strudel : a web site management system 1997,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,
7,0,1463,1541,data mining techniques sigmod conference,jiawei han,,1996.0,3200,747,"data mining : concepts and techniques by jiawei han and micheline kamber fernando berzal , nicolf &#225; s mat &#237; n acm sigmod record",,,2002.0
8,0,1217,1278,"qursed : querying and reporting semistructured data yannis papakonstantinou , michalis petropoulos , vasilis vassalos sigmod conference 2002",,,,4242,1799,"extracting schema from semistructured data svetlozar nestorov , serge abiteboul , rajeev motwani 1998",,international conference on management of data,
9,0,1734,1832,advances in databases and information systems ( adbis ) 2002,"albertas caplinskas , johann eder , olegas vasilecas",sigmod record,,3356,910,"amicalola report : database and information systems research challenges and opportunities in semantic web and enterprises amit sheth , robert meersman acm sigmod record",,,2002.0
10,0,2108,2232,query unnesting in object-oriented databases leonidas fegaras 1998,,sigmod conference,,3565,1122,"calibrating the query optimizer cost model of iro-db , an object-oriented federated database system georges gardarin , fei sha , zhao-hui tang very large data bases",,,1996.0
11,1,1008,1061,"data management for pervasive computing mitch cherniack , stanley b. zdonik , michael j. franklin vldb",,,2001.0,3727,1284,"data management for pervasive computing mitch cherniack , michael j. franklin , stanley b. zdonik very large data bases 2001",,,
