id,Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released
449,"Sunburn ( Deluxe Edition ) Ed Sheeran #NAME ? Pop 4:35 September 9 , 2011",,,,$ 1.29,Doll records,,
450,"Sunburn ( Deluxe Edition ) Pop $ 1.29 Doll records 4:35 September 9 , 2011",Ed Sheeran,#NAME ?,,,,,
451,"Bad Blood Taylor Swift Pop 3:31 October 27 , 2014",,1989,,$ 1.29,"( C ) 2014 Big Machine Records , LLC .",,
452,"This Love 1989 Pop ( C ) 2014 Big Machine Records , LLC . 4:10 October 27 , 2014",Taylor Swift,,,$ 1.29,,,
453,Clean Ryan Adams 4:23,,1989,Rock,$ 1.29,( C ) 2015 PaxAmericana Recording Company Under Exclusive License To Blue Note Records,,"September 21 , 2015"
454,"Wildest Dreams Taylor Swift 1989 Pop $ 1.29 ( C ) 2014 Big Machine Records , LLC . 3:40",,,,,,,"October 27 , 2014"
455,"Ruby , Do n't Take Your Love To Town 2:55",Kenny Rogers,49 All Time Greatest Hits,"Country , Traditional Country , Cowboy",$ 0.89,( c ) 2008 Goldenlane Records,,"August 1 , 2008"
456,"Hurry Up Love Country , Traditional Country , Cowboy $ 0.89 August 1 , 2008",Kenny Rogers,49 All Time Greatest Hits,,,( c ) 2008 Goldenlane Records,2:29,
457,You ( + Wiley ) Ed Sheeran 5 Pop,,,,$ 1.29,Dub Police Records,3:21,"June 23 , 2014"
458,"Goodbye To You ( + Dot Rotten ) Ed Sheeran $ 1.29 5:30 June 23 , 2014",,5,Pop,,Dub Police Records,,
459,"Who I Am With You Country September 16 , 2013",Chris Young,A.M.,,$ 1.29,"( C ) 2010 Hollywood Records , Inc.",3:11,
460,The Tin Man Kenny Chesney $ 0.99,,All I Need To Know,Country,,2014 Scotty 2 Music Ascap,3:26,"June 13 , 1995"
461,"Through The Ghost Amaryllis $ 1.29 Krankbrother March 23 , 2012",Shinedown,,Rock,,,4:01,
462,"Bumpin ' The Night ( C ) 2014 Republic Records , a Division of UMG Recordings , Inc. ( Republic Nashville )",Florida Georgia Line,Anything Goes,Country,$ 1.29,,3:41,"October 14 , 2014"
463,"Anything Goes Florida Georgia Line Country October 14 , 2014",,Anything Goes,,$ 1.29,"( C ) 2014 Republic Records , a Division of UMG Recordings , Inc. ( Republic Nashville )",3:38,
464,Backwoods Beauty Queen Florida Georgia Line Anything Like Me Country 2011 Florida Georgia Line 4:15,,,,$ 0.99,,,"December 14 , 2010"
465,"Applause ( Empire Of The Sun Remix ) Lady Gaga Applause ( Remixes ) $ 1.29 ( C ) 2013 Interscope Records September 30 , 2013",,,Pop,,,4:08,
466,Applause ( DJ White Shadow Electrotech Remix ) Lady Gaga ( C ) 2013 Interscope Records,,Applause ( Remixes ),Pop,$ 1.29,,5:49,"September 30 , 2013"
467,G.U.Y. [ Clean ] $ 1.29,Lady Gaga,Artpop [ Clean ],Pop,,( C ) 2013 Interscope Records,3:52,"November 11 , 2013"
468,Bad Romance ( Kaskade Remix ) Lady Gaga $ 1.29 4:21,,Bad Romance Remixes,Pop,,( C ) 2009 Interscope Records,,"December 21 , 2009"
469,"Skrillex Orchestral Suite By Varien ( Bonus Track ) Dance & Electronic , Dubstep Elektroshok Records",Skrillex,Bangarang EP [ Explicit ],,$ 1.29,,6:54,"December 27 , 2011"
470,"Remark Rachel Platten 2014 Great Unknown , LLC April 26 , 2011",,Be Here,Pop,$ 0.99,,2:57,
471,Beautiful Now ( Zonderling Remix ) [ feat . Jon Bellion ] Beautiful Now ( Remixes ),Zedd,,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,3:53,"July 10 , 2015"
