id,label,left_index,left_id,left_Song_Name,left_Artist_Name,left_Album_Name,left_Genre,left_Price,left_CopyRight,left_Time,left_Released,right_index,right_id,right_Song_Name,right_Artist_Name,right_Album_Name,right_Genre,right_Price,right_CopyRight,right_Time,right_Released
0,0,140,1409,"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic 2015 Interscope Records 6:30",,,,$ 1.29,,,18-May-15,892,51560,Transmission [ feat . X Ambassadors ] Dance & Electronic $ 1.29 ( C ) 2015 Interscope Records 4:02,Zedd,True Colors,,,,,"May 18 , 2015"
1,0,118,1289,"I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) Dance , Music , Rock , House , Electronic 26-Aug-11",David Guetta,Nothing But the Beat,,$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,,723,34035,"I Can Only Imagine ( feat . Chris Brown & Lil Wayne ) David Guetta Dance & Electronic 2015 Real Sounds 3:29 August 26 , 2011",,Nothing But the Beat 2.0 [ Explicit ],,$ 0.99,,,
2,1,205,2666,Silver and Gold 3:33,Little Big Town,Pain Killer,"Country , Music , Honky Tonk , Contemporary Country",$ 1.29,"2014 Little Big Town , LLC Under exclusive license to Capitol Records Nashville",,21-Oct-14,776,35475,Silver And Gold Little Big Town Country ( C ) 2014 Little Big Town LLC Under exclusive license to Capitol Records Nashville 3:31,,Pain Killer,,$ 1.29,,,"October 21 , 2014"
3,0,69,1157,"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Dance , Music , Rock , House , Electronic , French Pop $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14",,Listen ( Deluxe Version ),,,,3:20,,636,27989,"I 'll Keep Loving you ( feat . Birdy & Jaymes Young ) David Guetta Listen ( Deluxe ) $ 1.29 2015 If Moving Your Mine November 24 , 2014",,,Dance & Electronic,,,3:08,
4,0,260,3332,"True Colors ( feat . Nicki Minaj ) Wiz Khalifa Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock 4:15 19-Aug-14",,Blacc Hollywood,,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,,,491,7412,"Still Down ( feat . Chevy Woods & Ty Dolla $ ign ) [ Explicit ] $ 1.29 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company 4:16 August 19 , 2014",Wiz Khalifa,Blacc Hollywood [ Explicit ],Rap & Hip-Hop,,,,
5,0,124,1303,"I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) David Guetta Dance , Music , House , Electronic , Rock $ 1.29 3:34 26-Aug-11",,Nothing But the Beat,,,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",,,726,34060,"In My Head ( feat . Nervo ) David Guetta Dance & Electronic 2015 Real Sounds 3:51 August 26 , 2011",,Nothing But the Beat 2.0 [ Explicit ],,$ 0.99,,,
6,0,67,1155,"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) Dance , Music , Rock , House , Electronic , French Pop $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14",,,,,,3:20,,513,9941,"Bloody War ( Album Version ( Edited ) ) [ feat . BG ] [ Clean ] September 20 , 2005",David Banner,Certified ( Edited Version ),Rap & Hip-Hop,$ 0.99,"( C ) 2014 Island Records , a division of UMG Recordings , Inc.",4:27,
7,0,346,4733,Lick It ( Norman Doray Remix ) Lick It ( Remixes ) - EP,Kaskade & Skrillex,,"Dance , Music , Electronic",$ 1.29,"2012 Ultra Records , Inc.",6:14,17-Apr-12,850,43755,"Take ÌÏ There ( feat . Kiesza ) [ Netsky Remix ] 2010 Robbins Entertainment LLC 3:29 December 23 , 2014",Skrillex & Diplo,Take ÌÏ There ( feat . Kiesza ) [ Remixes ],Dance & Electronic,$ 1.29,,,
8,0,319,3949,"Whatcha Say ( Klubjumpers Remix Radio ) Jason Derulo Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance $ 1.29 2011 This Compilation P2011 Warner Bros. . Records Inc. 4:02",,Reloaded,,,,,16-Dec-11,802,38669,The Sky 's The Limit ( Ayo Remix ) Jason Derulo Reloaded $ 1.29 3:25,,,Pop,,"( C ) 2006 DTP Records , LLC",,"December 16 , 2011"
9,0,201,2477,"Because of Your Love Greatest Hits Country , Music , Contemporary Country , Urban Cowboy $ 0.99",Kenny Chesney,,,,2000 BMG Entertainment,4:16,26-Sep-00,455,1222,"Ruby , Do n't Take Your Love To Town 2:55",Kenny Rogers,49 All Time Greatest Hits,"Country , Traditional Country , Cowboy",$ 0.89,( c ) 2008 Goldenlane Records,,"August 1 , 2008"
10,0,322,4056,Where Are '`` Now ( with Justin Bieber ) [ Ember Island Remix ] 2:31 16-Jun-15,Skrillex & Diplo,Where Are '`` Now ( with Justin Bieber ) [ Remixes ] - EP,"Dance , Music",$ 1.29,2015 OWSLA / Mad Decent / Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,,,807,40142,"Scary Monsters And Nice Sprites ( Zedd Remix ) Skrillex Scary Monsters And Nice Sprites EP [ Explicit ] Electronica , Dance & Electronic , Dubstep $ 1.29 ( c ) 2013 Digitop Ltd",,,,,,5:57,"December 21 , 2010"
11,0,152,1551,Second Chance ( Live Acoustic from Kansas City ) Shinedown $ 1.29 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 18-Apr-11,,Somewhere In the Stratosphere ( Live ),"Rock , Music , Metal , Alternative , Hard Rock",,,5:06,,828,41574,"Burning Bright ( Live From Washington State ) Somewhere In The Stratosphere Rock $ 1.29 April 18 , 2011",Shinedown,,,,( C ) 2005 MCA Nashville,3:53,
12,0,182,2020,"If I Am a Stranger ( Live In Amsterdam ) Ryan Adams Live After Deaf ( Live ) [ Complete Collection ] Singer/Songwriter , Music , Rock $ 0.99 2012 PAXAM RECORDS 5:10 2-Jul-12",,,,,,,,662,28191,Dear Chicago ( Live in Stockholm ) Live After Deaf ( Collection ) 2012 PAXAM RECORDS,Ryan Adams,,"Folk , Rock",$ 0.99,,2:29,"July 2 , 2012"
13,0,138,1405,Autonomy ( Cold Blank Mix ) Autonomy - EP 2011 Bugeyed Records 28-Mar-11,Zedd,,"Dance , Music",$ 0.99,,4:59,,931,55640,"Autonomy ( Lucky Date Mix ) Zedd Electronica , Dance & Electronic 5:59 March 28 , 2011",,Zedd - Autonomy,,$ 0.99,( C ) 2014 Wolf Tone Limited,,
14,0,35,380,"Closer ( feat . Mike Posner ) Nick Jonas $ 1.29 2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC 3:48",,Nick Jonas ( Deluxe Version ),"Pop , Music , Teen Pop , Pop/Rock , Rock",,,,10-Nov-14,710,33288,"Numb [ feat . Angel Haze ] [ Clean ] Pop $ 1.29 ( C ) 2014 Island Records/Safehouse Records LLC , a division of UMG Recordings , Inc. 3:57",Nick Jonas,Nick Jonas ( Deluxe ) [ Clean ],,,,,"November 10 , 2014"
15,0,150,1545,"Second Chance ( Live Acoustic from Kansas City ) Somewhere In the Stratosphere ( Live ) Rock , Music , Metal , Alternative , Hard Rock 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 5:06",Shinedown,,,$ 1.29,,,18-Apr-11,833,41588,45 ( Live Acoustic From Kansas City ) Somewhere In The Stratosphere,Shinedown,,Rock,$ 1.29,( C ) 2005 MCA Nashville,6:12,"April 18 , 2011"
