id,label,left_index,left_id,left_Song_Name,left_Artist_Name,left_Album_Name,left_Genre,left_Price,left_CopyRight,left_Time,left_Released,right_index,right_id,right_Song_Name,right_Artist_Name,right_Album_Name,right_Genre,right_Price,right_CopyRight,right_Time,right_Released
0,0,140,1409,Illusion ( feat . Echosmith ),Zedd,True Colors,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,6:30,18-May-15,892,51560,Transmission [ feat . X Ambassadors ],Zedd,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,4:02,"May 18 , 2015"
1,0,118,1289,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,Nothing But the Beat,"Dance , Music , Rock , House , Electronic",$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11,723,34035,I Can Only Imagine ( feat . Chris Brown & Lil Wayne ),David Guetta,Nothing But the Beat 2.0 [ Explicit ],Dance & Electronic,$ 0.99,2015 Real Sounds,3:29,"August 26 , 2011"
2,1,205,2666,Silver and Gold,Little Big Town,Pain Killer,"Country , Music , Honky Tonk , Contemporary Country",$ 1.29,"2014 Little Big Town , LLC Under exclusive license to Capitol Records Nashville",3:33,21-Oct-14,776,35475,Silver And Gold,Little Big Town,Pain Killer,Country,$ 1.29,( C ) 2014 Little Big Town LLC Under exclusive license to Capitol Records Nashville,3:31,"October 21 , 2014"
3,0,69,1157,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:20,24-Nov-14,636,27989,I 'll Keep Loving you ( feat . Birdy & Jaymes Young ),David Guetta,Listen ( Deluxe ),Dance & Electronic,$ 1.29,2015 If Moving Your Mine,3:08,"November 24 , 2014"
4,0,260,3332,True Colors ( feat . Nicki Minaj ),Wiz Khalifa,Blacc Hollywood,"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock",$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,19-Aug-14,491,7412,Still Down ( feat . Chevy Woods & Ty Dolla $ ign ) [ Explicit ],Wiz Khalifa,Blacc Hollywood [ Explicit ],Rap & Hip-Hop,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:16,"August 19 , 2014"
5,0,124,1303,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,Nothing But the Beat,"Dance , Music , House , Electronic , Rock",$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11,726,34060,In My Head ( feat . Nervo ),David Guetta,Nothing But the Beat 2.0 [ Explicit ],Dance & Electronic,$ 0.99,2015 Real Sounds,3:51,"August 26 , 2011"
6,0,67,1155,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:20,24-Nov-14,513,9941,Bloody War ( Album Version ( Edited ) ) [ feat . BG ] [ Clean ],David Banner,Certified ( Edited Version ),Rap & Hip-Hop,$ 0.99,"( C ) 2014 Island Records , a division of UMG Recordings , Inc.",4:27,"September 20 , 2005"
7,0,346,4733,Lick It ( Norman Doray Remix ),Kaskade & Skrillex,Lick It ( Remixes ) - EP,"Dance , Music , Electronic",$ 1.29,"2012 Ultra Records , Inc.",6:14,17-Apr-12,850,43755,Take ÌÏ There ( feat . Kiesza ) [ Netsky Remix ],Skrillex & Diplo,Take ÌÏ There ( feat . Kiesza ) [ Remixes ],Dance & Electronic,$ 1.29,2010 Robbins Entertainment LLC,3:29,"December 23 , 2014"
8,0,319,3949,Whatcha Say ( Klubjumpers Remix Radio ),Jason Derulo,Reloaded,"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance",$ 1.29,2011 This Compilation P2011 Warner Bros. . Records Inc.,4:02,16-Dec-11,802,38669,The Sky 's The Limit ( Ayo Remix ),Jason Derulo,Reloaded,Pop,$ 1.29,"( C ) 2006 DTP Records , LLC",3:25,"December 16 , 2011"
9,0,201,2477,Because of Your Love,Kenny Chesney,Greatest Hits,"Country , Music , Contemporary Country , Urban Cowboy",$ 0.99,2000 BMG Entertainment,4:16,26-Sep-00,455,1222,"Ruby , Do n't Take Your Love To Town",Kenny Rogers,49 All Time Greatest Hits,"Country , Traditional Country , Cowboy",$ 0.89,( c ) 2008 Goldenlane Records,2:55,"August 1 , 2008"
